system,min_denom,qmax,seed,exact,runtime_s
ellipse_357,7,32,16,True,0.0356234640021284
ellipse_357,7,32,17,True,0.0356188069999916
ellipse_357,7,32,18,True,0.0369990599974698
ellipse_357,7,32,19,True,0.0355371000005106
ellipse_357,7,32,20,True,0.0358806140029628
ellipse_357,7,32,21,True,0.0357949389981513
ellipse_357,7,32,22,True,0.0356046089982555
ellipse_357,7,32,23,True,0.0355546700011473
ellipse_357,7,32,24,True,0.0358074089999718
ellipse_357,7,32,25,True,0.0355257900009746
ellipse_357,7,32,26,True,0.0355559340023319
ellipse_357,7,32,27,True,0.0355240919998323
ellipse_357,7,32,28,True,0.0353251609994913
ellipse_357,7,32,29,True,0.0370266700010688
ellipse_357,7,64,0,True,0.0386464559996966
ellipse_357,7,64,1,True,0.0389823119985521
ellipse_357,7,64,2,True,0.0377988919972267
ellipse_357,7,64,3,True,0.038490962000651
ellipse_357,7,64,4,True,0.0375942169994232
ellipse_357,7,64,5,True,0.038152376000653
ellipse_357,7,64,6,True,0.0381086159977712
ellipse_357,7,64,7,True,0.0379587179995724
ellipse_357,7,64,8,True,0.0376764249995176
ellipse_357,7,64,9,True,0.0376105550021748
ellipse_357,7,64,10,True,0.0379915759986033
ellipse_357,7,64,11,True,0.0376854269998148
ellipse_357,7,64,12,True,0.0379843400005484
ellipse_357,7,64,13,True,0.0375488580029923
ellipse_357,7,64,14,True,0.0375208879995625
ellipse_357,7,64,15,True,0.0377163990015105
ellipse_357,7,64,16,True,0.0374957109997922
ellipse_357,7,64,17,True,0.0376589599982253
ellipse_357,7,64,18,True,0.0379108319975785
ellipse_357,7,64,19,True,0.0376883579992863
ellipse_357,7,64,20,True,0.038825027000712
ellipse_357,7,64,21,True,0.0376623480005946
ellipse_357,7,64,22,True,0.0376632159968721
ellipse_357,7,64,23,True,0.0378375869986484
ellipse_357,7,64,24,True,0.0380268529988825
ellipse_357,7,64,25,True,0.0380260750025627
ellipse_357,7,64,26,True,0.0376271080021979
ellipse_357,7,64,27,True,0.0380611959990346
ellipse_357,7,64,28,True,0.037812421000126
ellipse_357,7,64,29,True,0.0381749279986252
ellipse_5711,11,2,0,False,0.0055832649995863
ellipse_5711,11,2,1,False,0.0052211900001566
ellipse_5711,11,2,2,False,0.0051333150004211
ellipse_5711,11,2,3,False,0.0052302740004961
ellipse_5711,11,2,4,False,0.0051866089997929
ellipse_5711,11,2,5,False,0.0051305579981999
ellipse_5711,11,2,6,False,0.0052075059975322
ellipse_5711,11,2,7,False,0.005132312002388
ellipse_5711,11,2,8,False,0.0051617769968288
ellipse_5711,11,2,9,False,0.0052064439987589
ellipse_5711,11,2,10,False,0.005249719000858
ellipse_5711,11,2,11,False,0.0052289939994807
ellipse_5711,11,2,12,False,0.0052697510000143
ellipse_5711,11,2,13,False,0.0052840690004813
ellipse_5711,11,2,14,False,0.0051437740003166
ellipse_5711,11,2,15,False,0.005324597001163
ellipse_5711,11,2,16,False,0.0051976520007883
ellipse_5711,11,2,17,False,0.0051549240015447
ellipse_5711,11,2,18,False,0.0052358530010678
ellipse_5711,11,2,19,False,0.0052432869997574
ellipse_5711,11,2,20,False,0.0050765429987222
ellipse_5711,11,2,21,False,0.0052008419988851
ellipse_5711,11,2,22,False,0.0053154050001467
ellipse_5711,11,2,23,False,0.0052469129987002
ellipse_5711,11,2,24,False,0.0053195439977571
ellipse_5711,11,2,25,False,0.0052702079992741
ellipse_5711,11,2,26,False,0.0052244460021029
ellipse_5711,11,2,27,False,0.0051502930000424
ellipse_5711,11,2,28,False,0.0054095919986139
ellipse_5711,11,2,29,False,0.0051542619985411
ellipse_5711,11,4,0,False,0.005163960999198
ellipse_5711,11,4,1,False,0.0101094970013946
ellipse_5711,11,4,2,False,0.0053261699977156
