phi,sigma,seed,exact,n_generators,time
0.5,0.1,24,True,1,0.008074760437011719
0.5,0.1,25,True,1,0.0078277587890625
0.5,0.1,26,True,1,0.007985830307006836
0.5,0.1,27,True,1,0.0076525211334228516
0.5,0.1,28,True,1,0.007918834686279297
0.5,0.1,29,True,1,0.0077550411224365234
0.9,0.02,0,True,1,0.007730007171630859
0.9,0.02,1,True,1,0.007750988006591797
0.9,0.02,2,True,1,0.007748842239379883
0.9,0.02,3,True,1,0.00770115852355957
0.9,0.02,4,True,1,0.007815122604370117
0.9,0.02,5,True,1,0.007651090621948242
0.9,0.02,6,True,1,0.007787942886352539
0.9,0.02,7,True,1,0.007636308670043945
0.9,0.02,8,True,1,0.007844209671020508
0.9,0.02,9,True,1,0.007822990417480469
0.9,0.02,10,True,1,0.007903814315795898
0.9,0.02,11,True,1,0.007682085037231445
0.9,0.02,12,True,1,0.007940053939819336
0.9,0.02,13,True,1,0.007715702056884766
0.9,0.02,14,True,1,0.007903099060058594
0.9,0.02,15,True,1,0.007729530334472656
0.9,0.02,16,True,1,0.008150815963745117
0.9,0.02,17,True,1,0.007767200469970703
0.9,0.02,18,True,1,0.007825374603271484
0.9,0.02,19,True,1,0.00990748405456543
0.9,0.02,20,True,1,0.007791996002197266
0.9,0.02,21,True,1,0.007643461227416992
0.9,0.02,22,True,1,0.0078046321868896484
0.9,0.02,23,True,1,0.0076847076416015625
0.9,0.02,24,True,1,0.007803201675415039
0.9,0.02,25,True,1,0.007743358612060547
0.9,0.02,26,True,1,0.007737398147583008
0.9,0.02,27,True,1,0.007666826248168945
0.9,0.02,28,True,1,0.007765531539916992
0.9,0.02,29,True,1,0.007668495178222656
0.9,0.05,0,True,1,0.00786590576171875
0.9,0.05,1,True,1,0.007953643798828125
0.9,0.05,2,True,1,0.007715702056884766
0.9,0.05,3,True,1,0.007689476013183594
0.9,0.05,4,True,1,0.007731199264526367
0.9,0.05,5,True,1,0.0076389312744140625
0.9,0.05,6,True,1,0.007838964462280273
0.9,0.05,7,True,1,0.00788426399230957
0.9,0.05,8,True,1,0.007791757583618164
0.9,0.05,9,True,1,0.008463144302368164
0.9,0.05,10,True,1,0.007963418960571289
0.9,0.05,11,True,1,0.007915735244750977
0.9,0.05,12,True,1,0.009756803512573242
0.9,0.05,13,True,1,0.007754325866699219
0.9,0.05,14,True,1,0.007846593856811523
0.9,0.05,15,True,1,0.007769346237182617
0.9,0.05,16,True,1,0.007758378982543945
0.9,0.05,17,True,1,0.007884979248046875
0.9,0.05,18,True,1,0.007798910140991211
0.9,0.05,19,True,1,0.007748842239379883
0.9,0.05,20,True,1,0.007864236831665039
0.9,0.05,21,True,1,0.0077702999114990234
0.9,0.05,22,True,1,0.007775306701660156
0.9,0.05,23,True,1,0.0077381134033203125
0.9,0.05,24,True,1,0.007852792739868164
0.9,0.05,25,True,1,0.00777125358581543
0.9,0.05,26,True,1,0.00770115852355957
0.9,0.05,27,True,1,0.007686138153076172
0.9,0.05,28,True,1,0.007776737213134766
0.9,0.05,29,True,1,0.007904052734375
0.9,0.1,0,True,1,0.007816791534423828
0.9,0.1,1,False,1,0.07792854309082031
0.9,0.1,2,True,1,0.008152484893798828
0.9,0.1,3,True,1,0.007774829864501953
0.9,0.1,4,True,1,0.007993698120117188
0.9,0.1,5,True,1,0.007805347442626953
0.9,0.1,6,True,1,0.00792837142944336
0.9,0.1,7,True,1,0.00772857666015625
0.9,0.1,8,True,1,0.007861137390136719
0.9,0.1,9,True,1,0.007891416549682617
0.9,0.1,10,True,1,0.007955551147460938
0.9,0.1,11,True,1,0.007856607437133789
0.9,0.1,12,True,1,0.007840871810913086
0.9,0.1,13,True,1,0.007700681686401367
0.9,0.1,14,True,1,0.008032798767089844
0.9,0.1,15,True,1,0.007827281951904297
0.9,0.1,16,True,1,0.007952690124511719
0.9,0.1,17,True,1,0.007918119430541992
0.9,0.1,18,True,1,0.00803518295288086
0.9,0.1,19,True,1,0.007687091827392578
0.9,0.1,20,True,1,0.00783538818359375
0.9,0.1,21,True,1,0.007710695266723633
0.9,0.1,22,True,1,0.007919788360595703
0.9,0.1,23,True,1,0.007696390151977539
0.9,0.1,24,True,1,0.007752418518066406
0.9,0.1,25,True,1,0.0076901912689208984
0.9,0.1,26,True,1,0.007877826690673828
0.9,0.1,27,True,1,0.007601261138916016
0.9,0.1,28,True,1,0.008506298065185547
0.9,0.1,29,True,1,0.007846355438232422
