problem,seed,null_red,null_rec,null_fdr,st_red,st_rec,st_fdr,ad_red,ad_rec,ad_fdr,dense_red,dense_rec,dense_fdr,srgb_red,srgb_rec,srgb_fdr
Sphere,27,1,5.4867221876975233e-17,0.0,7,5.4867221876975233e-17,0.8571428571428571,,,,1,5.4867221876975233e-17,0.0,1,5.4867221876975233e-17,0.0
Sphere,28,1,5.779821066198564e-17,0.0,7,5.779821066198564e-17,0.8571428571428571,,,,1,5.779821066198564e-17,0.0,1,5.779821066198564e-17,0.0
Sphere,29,1,5.806466418789569e-17,0.0,7,5.806466418789569e-17,0.8571428571428571,,,,1,5.806466418789569e-17,0.0,1,5.806466418789569e-17,0.0
Cubic,0,1,5.000210878066571e-13,0.0,8,0.33519786490658343,0.875,,,,1,1.0000421756133141e-12,0.0,1,1.0000421756133141e-12,0.0
Cubic,1,1,5.000117533961395e-13,0.0,8,0.3523827238527448,0.875,,,,1,1.000023506792279e-12,0.0,1,1.000023506792279e-12,0.0
Cubic,2,1,5.000218159036969e-13,0.0,8,0.3785102473968046,0.875,,,,1,1.0000436318073938e-12,0.0,1,1.0000436318073938e-12,0.0
Cubic,3,1,5.000161213581892e-13,0.0,8,0.617157386340924,0.875,,,,1,1.0000322427163785e-12,0.0,1,1.0000322427163785e-12,0.0
Cubic,4,1,5.000224655450707e-13,0.0,8,0.42281547334425357,0.875,,,,1,1.0000449310901414e-12,0.0,1,1.0000449310901414e-12,0.0
Cubic,5,1,5.000133471963326e-13,0.0,8,0.3953131555456936,0.875,,,,1,1.0000266943926653e-12,0.0,1,1.0000266943926653e-12,0.0
Cubic,6,1,5.000238963442069e-13,0.0,8,0.3386379920962907,0.875,,,,1,1.0000477926884138e-12,0.0,1,1.0000477926884138e-12,0.0
Cubic,7,1,5.000085889609685e-13,0.0,8,0.6386116864850876,0.875,,,,1,1.000017177921937e-12,0.0,1,1.000017177921937e-12,0.0
Cubic,8,1,5.000115812239983e-13,0.0,8,0.35898398024567746,0.875,,,,1,1.0000231624479967e-12,0.0,1,1.0000231624479967e-12,0.0
Cubic,9,1,5.000236739348688e-13,0.0,8,0.34409255557690205,0.875,,,,1,1.0000473478697375e-12,0.0,1,1.0000473478697375e-12,0.0
Cubic,10,1,5.00018802393123e-13,0.0,8,0.3497259764478482,0.875,,,,1,1.000037604786246e-12,0.0,1,1.000037604786246e-12,0.0
Cubic,11,1,5.000102132058139e-13,0.0,8,0.38045314211949455,0.875,,,,1,1.0000204264116278e-12,0.0,1,1.0000204264116278e-12,0.0
Cubic,12,1,5.000163383434753e-13,0.0,8,0.37966793739699506,0.875,,,,1,1.0000326766869505e-12,0.0,1,1.0000326766869505e-12,0.0
Cubic,13,1,5.000324833253941e-13,0.0,8,0.3496090187329706,0.875,,,,1,1.0000649666507882e-12,0.0,1,1.0000649666507882e-12,0.0
Cubic,14,1,5.00013868381409e-13,0.0,8,0.7501581206145201,0.875,,,,1,1.000027736762818e-12,0.0,1,1.000027736762818e-12,0.0
Cubic,15,1,5.000140474267173e-13,0.0,8,0.7693902925992694,0.875,,,,1,1.0000280948534345e-12,0.0,1,1.0000280948534345e-12,0.0
Cubic,16,1,5.000140240676038e-13,0.0,8,0.4566596211792478,0.875,,,,1,1.0000280481352076e-12,0.0,1,1.0000280481352076e-12,0.0
Cubic,17,1,5.000099182025488e-13,0.0,8,0.4388453727697024,0.875,,,,1,1.0000198364050975e-12,0.0,1,1.0000198364050975e-12,0.0
Cubic,18,1,5.000094846802677e-13,0.0,8,0.5175991737191563,0.875,,,,1,1.0000189693605355e-12,0.0,1,1.0000189693605355e-12,0.0
Cubic,19,1,5.000043502632006e-13,0.0,8,0.6132043479972689,0.875,,,,1,1.0000087005264013e-12,0.0,1,1.0000087005264013e-12,0.0
Cubic,20,1,5.000181890440446e-13,0.0,8,0.6485565561733249,0.875,,,,1,1.0000363780880892e-12,0.0,1,1.0000363780880892e-12,0.0
Cubic,21,1,5.000054189754252e-13,0.0,8,0.4254732858774027,0.875,,,,1,1.0000108379508504e-12,0.0,1,1.0000108379508504e-12,0.0
Cubic,22,1,5.000184861032889e-13,0.0,8,0.9608861897075119,0.875,,,,1,1.0000369722065779e-12,0.0,1,1.0000369722065779e-12,0.0
Cubic,23,1,5.000163126268843e-13,0.0,8,0.37832500353522175,0.875,,,,1,1.0000326252537686e-12,0.0,1,1.0000326252537686e-12,0.0
Cubic,24,1,5.000167834798109e-13,0.0,8,0.5006059714045851,0.875,,,,1,1.0000335669596219e-12,0.0,1,1.0000335669596219e-12,0.0
Cubic,25,1,5.000248216849019e-13,0.0,8,0.42799816218599973,0.875,,,,1,1.0000496433698038e-12,0.0,1,1.0000496433698038e-12,0.0
Cubic,26,1,5.000185286745756e-13,0.0,8,0.4124791165656312,0.875,,,,1,1.0000370573491511e-12,0.0,1,1.0000370573491511e-12,0.0
Cubic,27,1,5.000220783209656e-13,0.0,8,0.44136420148533906,0.875,,,,1,1.0000441566419312e-12,0.0,1,1.0000441566419312e-12,0.0
Cubic,28,1,5.000197929762721e-13,0.0,8,0.3636476297022275,0.875,,,,1,1.0000395859525442e-12,0.0,1,1.0000395859525442e-12,0.0
Cubic,29,1,5.000077308945748e-13,0.0,8,0.35888263563084366,0.875,,,,1,1.0000154617891496e-12,0.0,1,1.0000154617891496e-12,0.0
