benchmark,condition,seed,exact,elapsed_s
oscillator_fixed_dt,standardized,21,False,0.15399694442749023
oscillator_fixed_dt,standardized,22,False,0.14024066925048828
oscillator_fixed_dt,standardized,23,False,0.1712198257446289
oscillator_fixed_dt,standardized,24,False,0.14907145500183105
oscillator_fixed_dt,standardized,25,False,0.1376955509185791
oscillator_fixed_dt,standardized,26,False,0.16138815879821777
oscillator_fixed_dt,standardized,27,False,0.13054537773132324
oscillator_fixed_dt,standardized,28,False,0.15271520614624023
oscillator_fixed_dt,standardized,29,False,0.15198159217834473
kepler_angular_momentum,baseline,0,True,0.08893370628356934
kepler_angular_momentum,baseline,1,True,0.09138631820678711
kepler_angular_momentum,baseline,2,True,0.07250785827636719
kepler_angular_momentum,baseline,3,True,0.09052085876464844
kepler_angular_momentum,baseline,4,True,0.08199095726013184
kepler_angular_momentum,baseline,5,True,0.0710752010345459
kepler_angular_momentum,baseline,6,True,0.09178376197814941
kepler_angular_momentum,baseline,7,True,0.08692312240600586
kepler_angular_momentum,baseline,8,True,0.0919947624206543
kepler_angular_momentum,baseline,9,True,0.0859217643737793
kepler_angular_momentum,baseline,10,True,0.1046438217163086
kepler_angular_momentum,baseline,11,True,0.10410666465759277
kepler_angular_momentum,baseline,12,True,0.08839178085327148
kepler_angular_momentum,baseline,13,True,0.08412623405456543
kepler_angular_momentum,baseline,14,True,0.09275245666503906
kepler_angular_momentum,baseline,15,True,0.0905919075012207
kepler_angular_momentum,baseline,16,True,0.09810042381286621
kepler_angular_momentum,baseline,17,True,0.08148646354675293
kepler_angular_momentum,baseline,18,True,0.10464215278625488
kepler_angular_momentum,baseline,19,True,0.08010149002075195
kepler_angular_momentum,baseline,20,True,0.08305740356445312
kepler_angular_momentum,baseline,21,True,0.08302640914916992
kepler_angular_momentum,baseline,22,True,0.0954899787902832
kepler_angular_momentum,baseline,23,True,0.08330178260803223
kepler_angular_momentum,baseline,24,True,0.10535693168640137
kepler_angular_momentum,baseline,25,True,0.09917497634887695
kepler_angular_momentum,baseline,26,True,0.08442211151123047
kepler_angular_momentum,baseline,27,True,0.09048748016357422
kepler_angular_momentum,baseline,28,True,0.07403397560119629
kepler_angular_momentum,baseline,29,True,0.0938565731048584
kepler_angular_momentum,rescaled,0,True,0.07253241539001465
kepler_angular_momentum,rescaled,1,True,0.0863184928894043
kepler_angular_momentum,rescaled,2,True,0.08923625946044922
kepler_angular_momentum,rescaled,3,True,0.09220409393310547
kepler_angular_momentum,rescaled,4,True,0.08908271789550781
kepler_angular_momentum,rescaled,5,True,0.07278847694396973
kepler_angular_momentum,rescaled,6,True,0.08370518684387207
kepler_angular_momentum,rescaled,7,True,0.09751129150390625
kepler_angular_momentum,rescaled,8,True,0.0810384750366211
kepler_angular_momentum,rescaled,9,True,0.10803627967834473
kepler_angular_momentum,rescaled,10,True,0.0894174575805664
kepler_angular_momentum,rescaled,11,True,0.09379148483276367
kepler_angular_momentum,rescaled,12,True,0.07202029228210449
kepler_angular_momentum,rescaled,13,True,0.09382867813110352
kepler_angular_momentum,rescaled,14,True,0.09743881225585938
kepler_angular_momentum,rescaled,15,True,0.08276534080505371
kepler_angular_momentum,rescaled,16,True,0.08276724815368652
kepler_angular_momentum,rescaled,17,True,0.10019755363464355
kepler_angular_momentum,rescaled,18,True,0.09376192092895508
kepler_angular_momentum,rescaled,19,True,0.10056900978088379
kepler_angular_momentum,rescaled,20,True,0.06908011436462402
kepler_angular_momentum,rescaled,21,True,0.0965883731842041
kepler_angular_momentum,rescaled,22,True,0.09731912612915039
