system,qmax,seed,false_positive,runtime_s
generic_cloud,16,2,False,0.037468684000486974
generic_cloud,16,3,False,0.04050868099875515
generic_cloud,16,4,False,0.03776517000005697
generic_cloud,16,5,False,0.03790080399994622
generic_cloud,16,6,False,0.044506158999865875
generic_cloud,16,7,False,0.057190668001567246
generic_cloud,16,8,False,0.06780624800012447
generic_cloud,16,9,False,0.04780296099852421
generic_cloud,16,10,False,0.02163946200016653
generic_cloud,16,11,False,0.039257971999177244
generic_cloud,16,12,False,0.03756220400100574
generic_cloud,16,13,False,0.039565774000948295
generic_cloud,16,14,False,0.062308529999427265
generic_cloud,16,15,False,0.06481516100029694
generic_cloud,16,16,False,0.03749720400082879
generic_cloud,16,17,False,0.038264308001089375
generic_cloud,16,18,False,0.061432533999322914
generic_cloud,16,19,False,0.03793728500022553
generic_cloud,16,20,False,0.03757816399956937
generic_cloud,16,21,False,0.03752637100114953
generic_cloud,16,22,False,0.05656716600060463
generic_cloud,16,23,False,0.06463302900010603
generic_cloud,16,24,False,0.05800441899918951
generic_cloud,16,25,False,0.03750140500051202
generic_cloud,16,26,False,0.03769882000051439
generic_cloud,16,27,False,0.0395102959992073
generic_cloud,16,28,False,0.037855740996747045
generic_cloud,16,29,False,0.03014677700048196
generic_cloud,32,0,False,0.0588991190015804
generic_cloud,32,1,False,0.04404383799919742
generic_cloud,32,2,False,0.0753114849976555
generic_cloud,32,3,False,0.04006084899810958
generic_cloud,32,4,False,0.040224246000434505
generic_cloud,32,5,False,0.03848446999836597
generic_cloud,32,6,False,0.06658129599964013
generic_cloud,32,7,False,0.06178630399881513
generic_cloud,32,8,False,0.06634267600020394
generic_cloud,32,9,False,0.048606003998429514
generic_cloud,32,10,False,0.06441246599933947
generic_cloud,32,11,False,0.04363788000046043
generic_cloud,32,12,False,0.03919586399933905
generic_cloud,32,13,False,0.058944467000401346
generic_cloud,32,14,False,0.09025870099867461
generic_cloud,32,15,False,0.12357395100116264
generic_cloud,32,16,False,0.04088234899973031
generic_cloud,32,17,False,0.040408593002212
generic_cloud,32,18,False,0.06666957600100432
generic_cloud,32,19,False,0.044127796001703246
generic_cloud,32,20,False,0.05507979200046975
generic_cloud,32,21,False,0.043757880997873144
generic_cloud,32,22,False,0.06681416499850457
generic_cloud,32,23,False,0.06936251200022525
generic_cloud,32,24,False,0.07657676699818694
generic_cloud,32,25,False,0.062445751998893684
generic_cloud,32,26,False,0.03986866299965186
generic_cloud,32,27,False,0.05482848200335866
generic_cloud,32,28,False,0.04068209800243494
generic_cloud,32,29,False,0.06456743899980211
generic_cloud,64,0,False,0.06790762799937511
generic_cloud,64,1,False,0.04381623799781664
generic_cloud,64,2,False,0.09748973599926103
generic_cloud,64,3,False,0.08096327599923825
generic_cloud,64,4,False,0.042386181998153916
generic_cloud,64,5,False,0.06919208799808985
generic_cloud,64,6,False,0.06658210699970368
generic_cloud,64,7,False,0.08272380200287444
generic_cloud,64,8,False,0.09616560399808805
generic_cloud,64,9,False,0.08108597400132567
generic_cloud,64,10,False,0.0854139480034064
generic_cloud,64,11,False,0.06378703299924382
generic_cloud,64,12,False,0.0747333899998921
generic_cloud,64,13,False,0.06895876899943687
generic_cloud,64,14,False,0.09786824799812166
generic_cloud,64,15,False,0.08394596499783802
generic_cloud,64,16,False,0.07123377400057507
generic_cloud,64,17,False,0.05593870000302559
generic_cloud,64,18,False,0.08512066899857018
generic_cloud,64,19,False,0.05252628299786011
generic_cloud,64,20,False,0.055964471997867804
generic_cloud,64,21,False,0.06818701899828739
generic_cloud,64,22,False,0.08060994100014796
generic_cloud,64,23,False,0.06964552799763624
generic_cloud,64,24,False,0.08402066700000432
generic_cloud,64,25,False,0.09122992500124383
generic_cloud,64,26,False,0.06371403899902361
