integrator,order,dt,seed,b_hat,c_hat,gap
symplectic_euler,1,0.01,1,-0.010000000000000417,0.9999999999999998,0.010000000000000417
symplectic_euler,1,0.01,2,-0.010000000000000366,0.9999999999999991,0.010000000000000366
symplectic_euler,1,0.01,3,-0.010000000000000422,1.0000000000000004,0.010000000000000422
symplectic_euler,1,0.01,4,-0.0099999999999997,0.9999999999999994,0.0099999999999997
symplectic_euler,1,0.01,5,-0.010000000000000338,0.9999999999999999,0.010000000000000338
symplectic_euler,1,0.01,6,-0.00999999999999979,0.9999999999999992,0.00999999999999979
symplectic_euler,1,0.01,7,-0.009999999999999872,1.0000000000000007,0.009999999999999872
symplectic_euler,1,0.01,8,-0.010000000000000156,1.0000000000000004,0.010000000000000156
symplectic_euler,1,0.01,9,-0.010000000000000285,0.9999999999999998,0.010000000000000285
symplectic_euler,1,0.01,10,-0.009999999999999605,0.9999999999999997,0.009999999999999605
symplectic_euler,1,0.01,11,-0.009999999999999676,0.9999999999999998,0.009999999999999676
symplectic_euler,1,0.01,12,-0.009999999999999759,1.0000000000000007,0.009999999999999759
symplectic_euler,1,0.01,13,-0.010000000000000099,0.9999999999999996,0.010000000000000099
symplectic_euler,1,0.01,14,-0.010000000000000186,1.0,0.010000000000000186
symplectic_euler,1,0.01,15,-0.010000000000000116,0.9999999999999998,0.010000000000000116
symplectic_euler,1,0.01,16,-0.010000000000000155,1.0000000000000002,0.010000000000000155
symplectic_euler,1,0.01,17,-0.01000000000000003,1.0000000000000007,0.01000000000000003
symplectic_euler,1,0.01,18,-0.009999999999999976,1.0,0.009999999999999976
symplectic_euler,1,0.01,19,-0.0100000000000004,1.0000000000000002,0.0100000000000004
symplectic_euler,1,0.01,20,-0.00999999999999973,1.0000000000000002,0.00999999999999973
symplectic_euler,1,0.01,21,-0.00999999999999969,0.9999999999999999,0.00999999999999969
symplectic_euler,1,0.01,22,-0.009999999999999948,0.9999999999999997,0.009999999999999948
symplectic_euler,1,0.01,23,-0.010000000000000182,1.0000000000000002,0.010000000000000182
symplectic_euler,1,0.01,24,-0.010000000000000389,0.9999999999999999,0.010000000000000389
symplectic_euler,1,0.01,25,-0.009999999999999652,0.9999999999999999,0.009999999999999652
symplectic_euler,1,0.01,26,-0.009999999999999796,0.999999999999999,0.009999999999999796
symplectic_euler,1,0.01,27,-0.010000000000000323,1.0000000000000004,0.010000000000000323
symplectic_euler,1,0.01,28,-0.009999999999999796,1.0000000000000007,0.009999999999999796
symplectic_euler,1,0.01,29,-0.009999999999999952,0.9999999999999996,0.009999999999999952
symplectic_euler,1,0.02,0,-0.019999999999999775,1.0000000000000002,0.019999999999999775
symplectic_euler,1,0.02,1,-0.020000000000000104,1.0000000000000002,0.020000000000000104
symplectic_euler,1,0.02,2,-0.020000000000000157,0.9999999999999998,0.020000000000000157
symplectic_euler,1,0.02,3,-0.020000000000000098,0.9999999999999999,0.020000000000000098
symplectic_euler,1,0.02,4,-0.020000000000000028,1.0,0.020000000000000028
symplectic_euler,1,0.02,5,-0.020000000000000028,0.9999999999999993,0.020000000000000028
symplectic_euler,1,0.02,6,-0.020000000000000125,0.9999999999999996,0.020000000000000125
symplectic_euler,1,0.02,7,-0.020000000000000063,1.0000000000000004,0.020000000000000063
symplectic_euler,1,0.02,8,-0.02000000000000007,0.9999999999999999,0.02000000000000007
symplectic_euler,1,0.02,9,-0.019999999999999844,1.0000000000000004,0.019999999999999844
symplectic_euler,1,0.02,10,-0.019999999999999886,1.0000000000000009,0.019999999999999886
symplectic_euler,1,0.02,11,-0.01999999999999999,1.0,0.01999999999999999
symplectic_euler,1,0.02,12,-0.01999999999999981,1.0000000000000002,0.01999999999999981
