sigma,seed,new_exact,orig_exact,new_time,orig_time
0.1,1,True,False,0.014438152313232422,0.01710224151611328
0.1,2,True,False,0.016736507415771484,0.009416341781616211
0.1,3,True,False,0.0161590576171875,0.012720584869384766
0.1,4,True,False,0.015798091888427734,0.013008356094360352
0.1,5,True,False,0.010437965393066406,0.006982564926147461
0.1,6,True,False,0.009735584259033203,0.013427972793579102
0.1,7,True,False,0.01566791534423828,0.010553836822509766
0.1,8,True,False,0.012066841125488281,0.009905815124511719
0.1,9,True,False,0.015959978103637695,0.016428470611572266
0.1,10,True,False,0.0167236328125,0.011708974838256836
0.1,11,True,False,0.010329008102416992,0.01560211181640625
0.1,12,True,False,0.00850820541381836,0.007596254348754883
0.1,13,True,False,0.016034841537475586,0.010275602340698242
0.1,14,True,False,0.009212732315063477,0.009889602661132812
0.1,15,True,False,0.015784025192260742,0.012027263641357422
0.1,16,True,False,0.01587533950805664,0.010085582733154297
0.1,17,True,False,0.01587963104248047,0.012752771377563477
0.1,18,True,False,0.015393733978271484,0.010008573532104492
0.1,19,True,False,0.015633583068847656,0.010813713073730469
0.1,20,True,False,0.008929967880249023,0.005195140838623047
0.1,21,True,False,0.008392095565795898,0.006315469741821289
0.1,22,True,False,0.014776229858398438,0.01076507568359375
0.1,23,True,False,0.01564764976501465,0.006570577621459961
0.1,24,True,False,0.015969514846801758,0.010035276412963867
0.1,25,True,False,0.014120101928710938,0.0052340030670166016
0.1,26,True,False,0.009913921356201172,0.005238771438598633
0.1,27,True,False,0.011746883392333984,0.017773866653442383
0.1,28,True,False,0.01579427719116211,0.0077745914459228516
0.1,29,True,False,0.008179187774658203,0.005295991897583008
0.12,0,True,False,0.013767719268798828,0.016928434371948242
0.12,1,True,False,0.013234615325927734,0.016527652740478516
0.12,2,True,False,0.010157585144042969,0.015395164489746094
0.12,3,True,False,0.01141500473022461,0.00739598274230957
0.12,4,True,False,0.015683889389038086,0.01592564582824707
0.12,5,True,False,0.012253761291503906,0.01760721206665039
0.12,6,True,False,0.015799522399902344,0.016496896743774414
0.12,7,True,False,0.009314537048339844,0.011864662170410156
0.12,8,True,False,0.015826940536499023,0.01072549819946289
0.12,9,True,False,0.008379459381103516,0.008210897445678711
0.12,10,True,False,0.008037805557250977,0.007165193557739258
0.12,11,True,False,0.008357048034667969,0.006282806396484375
0.12,12,True,False,0.01587963104248047,0.009950637817382812
