seed,sigma,N,M,d_null,mode,exact,sparsity,residual,poly
9,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
10,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
11,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
12,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
13,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
14,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
15,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
16,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
17,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
18,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
19,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
20,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
21,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
22,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
23,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
24,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
25,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
26,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
27,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
28,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
29,0.05,5000,35,0,"Combinatorial (C=324,632)",False,-1,-1.0,
