integrator,dt,sigma,seed,exact_Qdt,exact_H,n_generators,Qdt,returned,time
symplectic_euler,0.1,0.05,17,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,18,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,19,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,20,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,21,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,22,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,23,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,24,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,25,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,26,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,27,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,28,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.1,0.05,29,False,False,0,v**2 - v*x/10 + x**2,,0.007
symplectic_euler,0.5,0.0,0,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.014
symplectic_euler,0.5,0.0,1,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.012
symplectic_euler,0.5,0.0,2,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.011
symplectic_euler,0.5,0.0,3,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.012
symplectic_euler,0.5,0.0,4,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.012
symplectic_euler,0.5,0.0,5,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.012
symplectic_euler,0.5,0.0,6,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.011
symplectic_euler,0.5,0.0,7,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.012
symplectic_euler,0.5,0.0,8,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.011
symplectic_euler,0.5,0.0,9,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.014
symplectic_euler,0.5,0.0,10,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.011
symplectic_euler,0.5,0.0,11,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.012
symplectic_euler,0.5,0.0,12,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.014
symplectic_euler,0.5,0.0,13,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.012
symplectic_euler,0.5,0.0,14,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.011
symplectic_euler,0.5,0.0,15,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.012
symplectic_euler,0.5,0.0,16,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.012
symplectic_euler,0.5,0.0,17,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.013
symplectic_euler,0.5,0.0,18,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.012
symplectic_euler,0.5,0.0,19,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.011
symplectic_euler,0.5,0.0,20,True,False,1,v**2 - v*x/2 + x**2,2*v**2 - v*x + 2*x**2,0.012
